Player,Team,Rookie,Rating,GP,MPG,PPG,RPG,APG,FG %,FT %
James Harden, HOU,0,86.25,45,36.2,27.6,5.6,6.8,45.5,88.7
Anthony Davis, NO,0,85.82,41,36,24.5,10.4,1.7,55.6,82.9
LeBron James, CLE,0,82.9,37,37.3,26.4,5.6,7.4,49.2,73.3
Stephen Curry, GS,0,81.1,43,33.1,22.8,4.7,8.2,49.1,92.1
Blake Griffin, LAC,0,80.29,45,35.4,22.8,7.6,5.1,50,71.6
Jimmy Butler, CHI,0,79.63,43,39.5,20.1,6,3.3,45.9,83.4
Pau Gasol, CHI,0,79.27,44,35,18.3,11.9,2.8,48.5,82.5
LaMarcus Aldridge, POR,0,79.11,39,35.8,23.3,10.2,1.9,46,86.9
Damian Lillard, POR,0,79.06,45,36.2,22,4.7,6.2,43.9,86.4
Chris Paul, LAC,0,78.62,45,34.4,17.4,4.7,9.8,47.1,89.3
Kyrie Irving, CLE,0,76.88,43,38.1,21.3,3.1,5.2,46.6,84.4
Nikola Vucevic, ORL,0,76.75,42,34.5,19.5,11.2,2,53.6,77.2
Marc Gasol, MEM,0,76.62,45,34.4,18.9,8.2,3.8,50,80.4
Kyle Lowry, TOR,0,76.36,45,34.8,19.6,4.9,7.4,42.8,80.8
John Wall, WAS,0,76,46,35.7,17.3,4.3,10.2,46.5,76.3
Klay Thompson, GS,0,75.95,42,32.6,23,3.6,3,48.1,85.9
DeMarcus Cousins, SAC,0,75.62,31,33.9,24.2,12.6,3.2,48.1,80.7
Rudy Gay, SAC,0,75.3,40,35.2,20.2,6,4.1,44.8,86.4
Ty Lawson, DEN,0,74.8,43,37.1,17.1,3.3,10,44.4,71.9
Gordon Hayward, UTA,0,74.8,45,34.9,19.2,4.7,4.1,45.6,81.1
Kevin Love, CLE,0,73.97,44,35.3,17.2,10.3,2.3,43,82.1
Paul Millsap, ATL,0,73.27,44,33.3,17,7.9,3.2,48.6,74
Carmelo Anthony, NY,0,72.84,34,36.1,24.1,6.7,3.1,45,79.1
Kemba Walker, CHA,0,72.16,42,35.6,18.8,3.8,5.2,39.9,82.3
Chris Bosh, MIA,0,72.14,37,35.4,21.3,7.5,2.1,47.1,78.2
Eric Bledsoe, PHO,0,71.79,46,33.6,16.9,5.3,6,44.5,81.6
DeAndre Jordan, LAC,0,71.69,45,33.5,10.2,13.4,0.6,73.1,41
Monta Ellis, DAL,0,71.64,46,33.8,20.3,2.5,4.4,45.6,77.8
Brandon Knight, MIL,0,70.99,45,32.4,17.9,4.2,5.1,43.9,89
Jeff Teague, ATL,0,70.43,41,31.4,17.1,2.7,7.5,47.3,86.6
Tyreke Evans, NO,0,70.2,44,34.5,17,5.3,5.6,43.8,68.3
Mike Conley, MEM,0,70.09,42,32.1,17.4,3.4,5.6,45.6,85.5
Al Horford, ATL,0,70.09,43,30.4,15.2,6.7,3.2,54.6,75
Zach Randolph, MEM,0,69.99,36,32.5,17.1,11.9,1.7,51.3,74
Darren Collison, SAC,0,69.75,40,35.4,16.4,3.2,5.8,46.5,79.3
Tobias Harris, ORL,0,69.44,41,34.4,17.4,6.6,1.9,46.5,78.8
Dirk Nowitzki, DAL,0,69.29,43,29.7,18.7,6,2,47,89.9
Tyson Chandler, DAL,0,69.08,44,31.1,10.5,11.9,1.2,67.4,74.7
Russell Westbrook, OKC,0,68.85,31,32.1,24.7,6,7.6,42.4,80
Joe Johnson, BKN,0,68.71,42,35.5,15.5,4.6,3.7,42.7,80.8
Tim Duncan, SA,0,68.71,41,30.3,14.8,10,3.1,48.8,72.9
Goran Dragic, PHO,0,68.57,44,33.1,16.5,3.6,4.1,50.7,77.9
Kobe Bryant, LAL,0,68.35,35,34.5,22.3,5.7,5.6,37.3,81.3
Draymond Green, GS,0,68.27,43,31.9,11.6,8,3.6,44,69.5
Derrick Favors, UTA,0,68.1,41,30.6,15.7,8.6,1.4,54.2,66.9
Kyle Korver, ATL,0,68.1,44,32.9,12.9,4.2,2.9,51.6,92.3
Greg Monroe, DET,0,67.9,44,29.7,15.2,10.3,2,48.9,76.7
Serge Ibaka, OKC,0,67.41,45,32.8,14.2,7.5,0.9,46.2,82.8
Wesley Matthews, POR,0,67.38,45,33.9,16.5,3.4,2.2,46,73.4
Chandler Parsons, DAL,0,67.15,45,32.9,15.5,4.6,2.2,45.7,72.9
Jrue Holiday, NO,0,66.83,37,33.7,15.2,3.5,7.1,44.4,85.1
Dwyane Wade, MIA,0,66.76,35,32.3,21.4,3.8,5.4,48.7,73.6
Luol Deng, MIA,0,66.21,41,32.7,14.3,5,1.9,49.6,71.9
Trevor Ariza, HOU,0,66.16,45,35.7,12.4,5.4,2.2,37,85.2
Andrew Wiggins, MIN ,1,65.84,44,33.5,15.2,4.3,1.8,42.9,72.4
Andre Drummond, DET,0,65.76,46,29.4,12.5,12.9,0.5,49.3,41.8
Arron Afflalo, DEN,0,65.57,45,33.7,15.2,3.6,1.9,43.4,84.8
Kevin Durant, OKC,0,65.54,21,33.1,25.6,6.7,4.1,51.9,85.8
Jared Sullinger, BOS,0,65.51,43,28.7,14.2,8.2,2.2,45.1,75
Al Jefferson, CHA,0,65.43,36,31.4,17.4,8,1.8,48.5,68.6
